model,horizon_h,roc_auc,brier,td_auc,td_auc_time_h,mean_td_auc,usable,positives,hybrid,c_index,weighted_brier,brier_24h,brier_48h,brier_72h,best_params
gradient_boosting_survival,12,0.9741824440619622,0.0595243255960075,0.9740969899433799,12.0,0.9876925574562303,215,49,0.9650201078402953,0.9322209340841339,0.020923103407063888,0.029661491272437054,0.017312699842660054,0.016998586960895845,{}
gradient_boosting_survival,24,0.9868719417591598,0.029661491272437054,0.986680208921089,24.0,0.9876925574562303,196,63,0.9650201078402953,0.9322209340841339,0.020923103407063888,0.029661491272437054,0.017312699842660054,0.016998586960895845,{}
gradient_boosting_survival,48,0.9977272727272728,0.017312699842660054,0.997742881680585,48.0,0.9876925574562303,166,66,0.9650201078402953,0.9322209340841339,0.020923103407063888,0.029661491272437054,0.017312699842660054,0.016998586960895845,{}
gradient_boosting_survival,72,1.0,0.016998586960895845,1.0,66.99447313277778,0.9876925574562303,221,69,0.9650201078402953,0.9322209340841339,0.020923103407063888,0.029661491272437054,0.017312699842660054,0.016998586960895845,{}
random_survival_forest,12,0.963978362429309,0.06902142594133223,0.963824786246811,12.0,0.9820326349376122,215,49,0.9447646806857841,0.930192116594899,0.048989934703836543,0.05690440425814097,0.050633626927595106,0.038883875517854036,{}
random_survival_forest,24,0.9786370688626328,0.05690440425814097,0.9783461309806265,24.0,0.9820326349376122,196,63,0.9447646806857841,0.930192116594899,0.048989934703836543,0.05690440425814097,0.050633626927595106,0.038883875517854036,{}
random_survival_forest,48,0.9857575757575757,0.050633626927595106,0.985420447548238,48.0,0.9820326349376122,166,66,0.9447646806857841,0.930192116594899,0.048989934703836543,0.05690440425814097,0.050633626927595106,0.038883875517854036,{}
random_survival_forest,72,0.9977116704805492,0.038883875517854036,1.0,66.99447313277778,0.9820326349376122,221,69,0.9447646806857841,0.930192116594899,0.048989934703836543,0.05690440425814097,0.050633626927595106,0.038883875517854036,{}
cox_ph,12,0.7692402262109663,0.13480009052020317,0.7688571838224587,12.0,0.6044158183951367,215,49,0.7892762494968598,0.7443275919178536,0.1914600401121374,0.1683168169319933,0.18448020457052627,0.22390971068109633,{}
cox_ph,24,0.7852965747702589,0.1683168169319933,0.7859221385933002,24.0,0.6044158183951367,196,63,0.7892762494968598,0.7443275919178536,0.1914600401121374,0.1683168169319933,0.18448020457052627,0.22390971068109633,{}
cox_ph,48,0.7974242424242424,0.18448020457052627,0.7975979905390969,48.0,0.6044158183951367,166,66,0.7892762494968598,0.7443275919178536,0.1914600401121374,0.1683168169319933,0.18448020457052627,0.22390971068109633,{}
cox_ph,72,0.7399885583524026,0.22390971068109633,0.3809851182790949,66.99447313277778,0.6044158183951367,221,69,0.7892762494968598,0.7443275919178536,0.1914600401121374,0.1683168169319933,0.18448020457052627,0.22390971068109633,{}
kaplan_meier,12,0.43828374723383334,0.17686608477231872,0.4383262495293577,12.0,0.2759362409851128,215,49,0.6780028615831903,0.5036849950314674,0.2472894813232141,0.2195571558130485,0.24730294687880133,0.2750038527592633,{}
kaplan_meier,24,0.45244062537295615,0.2195571558130485,0.45269463118769626,24.0,0.2759362409851128,196,63,0.6780028615831903,0.5036849950314674,0.2472894813232141,0.2195571558130485,0.24730294687880133,0.2750038527592633,{}
kaplan_meier,48,0.42954545454545456,0.24730294687880133,0.4305645943839582,48.0,0.2759362409851128,166,66,0.6780028615831903,0.5036849950314674,0.2472894813232141,0.2195571558130485,0.24730294687880133,0.2750038527592633,{}
kaplan_meier,72,0.49022692601067885,0.2750038527592633,0.05890228709938812,66.99447313277778,0.2759362409851128,221,69,0.6780028615831903,0.5036849950314674,0.2472894813232141,0.2195571558130485,0.24730294687880133,0.2750038527592633,{}
