model,hybrid,c_index,weighted_brier
decision_tree (tuned),0.969888065515652,0.9347880092745943,0.015069053238180334
gradient_boosting_survival (tuned),0.9687506989642312,0.9375621066578337,0.017882761475884173
gradient_boosting (tuned),0.9632168703558777,0.9379761510433918,0.025965678510199777
random_forest (tuned),0.9482910596534968,0.932179529645578,0.04480399891453775
random_survival_forest (tuned),0.9388505943425857,0.9304405432262338,0.05754509803612059
cox_ph (tuned),0.8087946251857385,0.7933918516064922,0.1846041861374414
