model,horizon_h,accuracy,f1,roc_auc,roc_auc_std
logistic_regression,12,0.8465116279069766,0.5833333333333333,0.9036957813428401,0.031351552238377815
logistic_regression,24,0.801025641025641,0.6530624639833192,0.8940207465848491,0.07699611788187588
logistic_regression,48,0.7837789661319073,0.7184261715296197,0.9037912087912087,0.03244755552329428
logistic_regression,72,0.800909090909091,0.6512601345924922,0.8908354011579819,0.07590954715613768
decision_tree,12,0.8976744186046511,0.756017316017316,0.8373499702911469,0.07698554693970767
decision_tree,24,0.9337179487179489,0.8945863991081382,0.9183760683760684,0.03217718229273401
decision_tree,48,0.9759358288770054,0.9703068783068783,0.9751648351648352,0.020836857166861757
decision_tree,72,1.0,1.0,1.0,0.0
random_forest,12,0.8744186046511627,0.7051461988304093,0.9472667855020797,0.03021305949763783
random_forest,24,0.9538461538461538,0.9292079772079772,0.9845788589378334,0.010851560578586513
random_forest,48,0.9638146167557933,0.9575989782886335,0.9923076923076923,0.009421114395319938
random_forest,72,0.9863636363636363,0.9806451612903226,0.9992857142857143,0.0014285714285714236
gradient_boosting,12,0.9069767441860466,0.794393470306783,0.9575044563279856,0.03194176532019719
gradient_boosting,24,0.9642307692307692,0.9464159544159545,0.9878332968076557,0.012445667845275331
gradient_boosting,48,0.9700534759358289,0.9629222629222628,0.9892307692307692,0.02153846153846155
gradient_boosting,72,1.0,1.0,1.0,0.0
svm,12,0.8186046511627907,0.5127195225916454,0.8491740938799761,0.04474380704692453
svm,24,0.7497435897435898,0.53,0.8548907882241217,0.059829382716962
svm,48,0.747415329768271,0.6349399585921325,0.8446703296703297,0.10563143585844473
svm,72,0.751010101010101,0.49443573667711593,0.8500909842845326,0.0695092161688191
knn,12,0.8139534883720929,0.5142857142857142,0.7562269756387403,0.08741978073259977
knn,24,0.7498717948717948,0.5786622073578596,0.8035283804514574,0.03266511121459605
knn,48,0.7110516934046346,0.6169950738916257,0.7992857142857143,0.06677838523936402
knn,72,0.7513131313131314,0.5469783003235225,0.7483339241403757,0.10889931189754397
