model,hybrid,c_index,weighted_brier
gradient_boosting,0.9700649164397676,0.9335872805564757,0.014301811038821548
decision_tree,0.9630069998443591,0.9185574693607155,0.017943201376936314
random_forest,0.9478641024665226,0.9303163299105665,0.04461542358092449
logistic_regression,0.868932054035091,0.8518549188473005,0.12374917374157021
linear_regression,0.8364456176482162,0.8188969857568731,0.15603354011263645
svm,0.8363373844424253,0.8132659821132825,0.15377487170222753
knn,0.7963083627546124,0.7495859556144419,0.18366774847102885
